Year,Type,Department,Description,Amount
2022,Revenue,FINANCE,REAL ESTATE-CURRENT YEAR,-146919.4105
2022,Revenue,FINANCE,EIT- CURRENT YEAR,-116846.0058
2022,Revenue,FINANCE,DEED TRANSFER TAX,-51989.85237
2022,Revenue,FINANCE,PAYROLL PREPARATION TAX-CURREN,-51981.0705
2022,Revenue,OFFICE OF MANAGEMENT AND BUDGET,OPERATING TRANSFER-SPECIAL REV,-48046.28665
2022,Revenue,FINANCE,PARKING TAX- CURRENT YEAR,-47935.13968
2022,Revenue,FINANCE,STATE PENSION AID,-24774.0026
2022,Revenue,FINANCE,ACT 77 - RAD TAX RELIEF,-22913.45816
2022,Revenue,FINANCE,PAYROLL PREPARATION-PRIOR YEAR,-13817.75291
2022,Revenue,PS - EMERGENCY MED SERVICES,MEDICAL SERVICES REVENUE,-13365.73671
2022,Revenue,FINANCE,AMUSEMENT TAX - CURRENT YEAR,-12097.49674
2022,Revenue,FINANCE,LST- CURRENT YEAR,-10546.44329
2022,Revenue,FINANCE,2% LOCAL SARE OF SLOTS REVENUE,-10000
2022,Revenue,FINANCE,PARKING TAX- PRIOR YEAR,-8997.82786
2022,Revenue,FINANCE,PARKING AUTHORITY TICKETS,-7445.068
2022,Revenue,FINANCE,PWSA-INDIRECT COSTS,-6741.32
2022,Revenue,FINANCE,DAILY PARKING METERS,-6283.09566
2022,Revenue,FINANCE,AMUSEMENT TAX- PRIOR YEAR,-4887.7248
2022,Revenue,INNOVATION & PERFORMANCE,CABLE BUREAU REVENUE,-4292.18299
2022,Revenue,FINANCE,REAL ESTATE- PRIOR YEAR,-4200.85713
2022,Revenue,FINANCE,LST- PRIOR YEAR,-4095.00404
2022,Revenue,PW - BUREAU OF ADMINISTRATION,LIQUID FUELS,-4072.5
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,COMMERCIAL BUILDING,-3934.97691
2022,Revenue,FINANCE,FUF-CURRENT YEAR,-2972.60556
2022,Revenue,HUMAN RESOURCES/CIVIL SERVICE,BENEFITS REIMBURSEMENTS,-2000
2022,Revenue,FINANCE,FIRE SERVICE,-1943.558
2022,Revenue,FINANCE,SCHOOL BOARD TAX COLLECTION,-1577.69785
2022,Revenue,PS - ADMIN AND SUPPORT SERVICES,HOUSING AUTHORITY,-1500
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,RENTAL PERMITS,-1471.965
2022,Revenue,FINANCE,FUF- PRIOR YEAR,-1276.37852
2022,Revenue,FINANCE,TRAFFIC COURT,-1270.04234
2022,Revenue,MOBILITY AND INFRASTRUCTURE,PSP FEE/ TELECOMM LICENSING,-1049.45439
2022,Revenue,FINANCE,WILKINSBURG TRASH COLLECTION,-961.80769
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,COMMERCIAL-ELECTRIC,-868.82019
2022,Revenue,FINANCE,HOUSING AUTHORITY,-832.73481
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,COMMERCIAL- HVAC,-752.6775
2022,Revenue,CITY PLANNING,PROPERTY CERTIFICATE APPLICATI,-706.28841
2022,Revenue,FINANCE,ISPT- CURRENT YEAR,-603.37422
2022,Revenue,PW - BUREAU OF PW OPERATIONS,MAINTENANCE,-600
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,RESIDENTIAL BUILDING,-599.69822
2022,Revenue,FINANCE,RE CERTIFICATION,-596.1778
2022,Revenue,FINANCE,P/I - PAYROLL PREPREATION TAX,-582.59445
2022,Revenue,FINANCE,URBAN REDEVELOPMENT AUTHORITY,-522.68222
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET EXCAVATION-TEMP BARRICA,-445.30715
2022,Revenue,FINANCE,NON-PROFIT PAYMENT FOR MUNICIA,-444.76874
2022,Revenue,FINANCE,STATE UTILITY TAX DISTRIBUTION,-420
2022,Revenue,MOBILITY AND INFRASTRUCTURE,STREET EXCAVATION- MACH OR EQU,-406.24931
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,LIQUOR & MALT BEVERAGE LICENSE,-376.02923
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,ZONING FEES,-370.87675
2022,Revenue,PS - FIRE BUREAU,COMMERCIAL-FIRE ALARM,-353.52082
2022,Revenue,PW - BUREAU OF PW OPERATIONS,PICNIC AND BALLFIELD,-329.5367
2022,Revenue,PERMITS LICENSES AND INSPECTIONS,COMMERCIAL-SPRINKLERS,-329.14804
2022,Revenue,PW - ENVIRONMENTAL SERVICES,COMMONWEALTH RECYCLING GRANT,-315
2022,Revenue,PARKS AND RECREATION,SWIMMING POOLS,-313.37922
