"month","states","mask","cases","death"
"2021-02-01",Utah,82.86676811069188,359641,1785
"2021-03-01",Indiana,72.72463740771208,668765,12710
"2021-05-01",South Dakota,22.048927951681748,245662,3940
"2021-05-01",Massachusetts,87.20279804134235,704796,17818
"2021-07-01",Oklahoma,4.684588389567643,934428,14888
"2021-01-01",Florida,70.86054209339721,5774211,99200
"2020-11-01",Pennsylvania,80.24646224625853,579363,19171
"2020-12-01",Iowa,74.99855706470636,763958,9605
"2021-04-01",Alabama,49.58888641772087,1031378,22020
"2021-05-01",Florida,53.27331582652886,4533327,73509
"2021-06-01",Utah,10.389327284165258,1234890,7016
"2021-03-01",Utah,78.99342752802688,374850,1976
"2021-08-01",New York,19.28906108164255,3546790,60016
"2021-08-01",Utah,4.961653168767461,875640,4976
"2020-11-01",Colorado,84.63634595716277,268484,4754
"2021-06-01",Massachusetts,41.06776389427776,709443,17976
"2021-04-01",Utah,68.32595543318817,777286,4291
"2020-11-01",Hawaii,92.6669622083144,16171,221
"2020-11-01",Washington,89.40287007716442,164577,2703
"2020-12-01",Georgia,60.43985192771457,1682485,30637
"2021-06-01",Arkansas,13.549415330058471,348699,5905
"2021-04-01",West Virginia,69.19671164899302,150693,2813
"2020-12-01",Utah,82.48456138712397,474916,2164
"2021-05-01",Oklahoma,29.299873390262704,451448,7285
"2020-11-01",Ohio,81.1453935875015,261482,5547
"2021-05-01",Colorado,69.62720031700445,539896,6450
"2020-11-01",Massachusetts,92.38250728353178,159707,10048
"2021-07-01",New York,19.591618603799606,3477294,59831
"2021-03-01",Colorado,82.16302323772979,439916,5959
"2021-02-01",Massachusetts,94.3469650470374,1137577,31833
"2020-11-01",New Mexico,88.628710506773,112257,2135
"2021-07-01",Hawaii,77.87302592035076,75673,1042
"2021-01-01",Alabama,66.32450470778493,440953,9133
"2021-08-01",Oklahoma,3.9842257284081954,1549708,23121
"2020-11-01",Kansas,71.43004108393006,92215,1087
"2020-12-01",Alabama,64.97621906093752,285783,5841
"2021-06-01",Colorado,17.69903081273203,1679557,20329
"2021-03-01",West Virginia,74.95776876707775,274400,5143
